County,No of cases
Baringo,602
Bomet,939
Bungoma,2022
Busia,5040
Elegeyo Marakwet,230
Embu,1190
Garissa,1238
Homabay,1367
Isiolo,411
Kajiado,4662
Kakamega,2246
Kericho,3605
Kiambu,11085
Kilifi,4370
Kirinyaga,863
Kisii,2273
Kisumu,6004
Kitui,1963
Kwale,623
Laikipia,1610
Lamu,350
Machakos,4787
Makueni,1044
Mandera,282
Marsabit,268
Meru,2644
Migori,1678
Mombasa,12984
Murang'a,1617
Nairobi,79679
Nandi,1445
Narok,730
Nyamira,984
Nyandarua,957
Nyeri,2264
Samburu,238
Siaya,2992
Taita Taveta,1137
Tana River,132
Tharaka Nithi,459
Trans Nzoia,1593
Turkana,1762
Uasin Gishu,6405
Vihiga,638
Wajir,103
West Pokot,290
Nakuru,9137
